month,hour,out,in
202401,0,30,14
202401,1,5,15
202401,2,10,8
202401,3,2,6
202401,4,2,7
202401,5,3,21
202401,6,6,45
202401,7,33,102
202401,8,146,201
202401,9,152,260
202401,10,129,247
202401,11,178,165
202401,12,240,204
202401,13,248,203
202401,14,226,236
202401,15,246,235
202401,16,298,263
202401,17,417,266
202401,18,324,251
202401,19,253,189
202401,20,155,115
202401,21,115,87
202401,22,69,49
202401,23,30,25
202402,0,41,36
202402,1,20,22
202402,2,14,13
202402,3,7,3
202402,4,7,1
202402,5,11,17
202402,6,7,96
202402,7,59,190
202402,8,199,350
202402,9,207,336
202402,10,193,230
202402,11,288,255
202402,12,359,325
202402,13,370,357
202402,14,399,373
202402,15,435,370
202402,16,585,470
202402,17,620,514
202402,18,444,400
202402,19,390,287
202402,20,220,196
202402,21,207,178
202402,22,113,80
202402,23,70,48
202403,0,47,42
202403,1,37,24
202403,2,16,13
202403,3,7,4
202403,4,6,3
202403,5,3,19
202403,6,9,124
202403,7,57,204
202403,8,191,335
202403,9,218,326
202403,10,221,283
202403,11,298,271
202403,12,410,384
202403,13,384,408
202403,14,466,445
202403,15,463,405
202403,16,570,457
202403,17,639,470
202403,18,531,479
202403,19,391,328
202403,20,236,190
202403,21,186,153
202403,22,146,134
202403,23,82,59
202404,0,85,66
202404,1,66,44
202404,2,27,35
202404,3,13,18
202404,4,7,5
202404,5,14,65
202404,6,32,140
202404,7,98,275
202404,8,239,420
202404,9,296,407
202404,10,276,308
202404,11,390,361
202404,12,503,471
202404,13,585,524
202404,14,583,557
202404,15,658,489
202404,16,747,605
202404,17,841,738
202404,18,704,688
202404,19,536,516
202404,20,423,365
202404,21,327,283
202404,22,201,184
202404,23,136,125
202405,0,90,77
202405,1,53,48
202405,2,27,30
202405,3,10,10
202405,4,15,13
202405,5,10,87
202405,6,45,134
202405,7,126,240
202405,8,303,442
202405,9,305,481
202405,10,358,379
202405,11,476,430
202405,12,539,513
202405,13,549,514
202405,14,606,543
202405,15,721,636
202405,16,869,714
202405,17,946,869
202405,18,797,773
202405,19,650,603
202405,20,473,421
202405,21,333,335
202405,22,254,210
202405,23,162,118
202406,0,65,41
202406,1,23,19
202406,2,21,22
202406,3,8,8
202406,4,2,4
202406,5,15,61
202406,6,48,165
202406,7,151,279
202406,8,352,506
202406,9,276,503
202406,10,318,286
202406,11,359,308
202406,12,387,324
202406,13,380,370
202406,14,418,387
202406,15,464,425
202406,16,655,485
202406,17,785,627
202406,18,698,623
202406,19,453,417
202406,20,309,256
202406,21,161,148
202406,22,91,114
202406,23,93,81
202407,0,91,64
202407,1,39,29
202407,2,23,24
202407,3,8,10
202407,4,7,2
202407,5,24,94
202407,6,75,154
202407,7,245,386
202407,8,482,637
202407,9,410,588
202407,10,305,333
202407,11,417,341
202407,12,466,448
202407,13,480,430
202407,14,476,436
202407,15,591,473
202407,16,810,623
202407,17,932,846
202407,18,892,879
202407,19,652,592
202407,20,391,332
202407,21,225,246
202407,22,215,197
202407,23,168,134
202408,0,68,70
202408,1,42,31
202408,2,21,27
202408,3,5,4
202408,4,5,9
202408,5,10,63
202408,6,49,142
202408,7,186,342
202408,8,361,501
202408,9,314,485
202408,10,355,327
202408,11,406,384
202408,12,508,473
202408,13,577,495
202408,14,546,479
202408,15,655,536
202408,16,785,634
202408,17,890,883
202408,18,893,784
202408,19,650,527
202408,20,347,273
202408,21,245,213
202408,22,197,154
202408,23,161,129
202409,0,109,153
202409,1,78,134
202409,2,59,79
202409,3,20,23
202409,4,14,11
202409,5,13,83
202409,6,76,178
202409,7,222,366
202409,8,409,484
202409,9,378,460
202409,10,502,456
202409,11,615,564
202409,12,825,794
202409,13,801,748
202409,14,868,818
202409,15,878,820
202409,16,1152,867
202409,17,1106,1091
202409,18,1039,1018
202409,19,894,829
202409,20,674,616
202409,21,437,512
202409,22,371,313
202409,23,209,214
202410,0,112,136
202410,1,107,110
202410,2,57,70
202410,3,31,18
202410,4,15,18
202410,5,14,78
202410,6,60,155
202410,7,185,321
202410,8,310,493
202410,9,363,475
202410,10,465,464
202410,11,594,547
202410,12,772,712
202410,13,764,747
202410,14,897,776
202410,15,936,827
202410,16,1064,958
202410,17,1132,946
202410,18,886,828
202410,19,788,780
202410,20,635,609
202410,21,478,460
202410,22,369,281
202410,23,263,218
202411,0,83,89
202411,1,62,81
202411,2,36,42
202411,3,20,21
202411,4,10,7
202411,5,6,30
202411,6,38,120
202411,7,108,263
202411,8,258,432
202411,9,250,367
202411,10,276,292
202411,11,465,381
202411,12,649,563
202411,13,584,607
202411,14,701,588
202411,15,702,627
202411,16,799,687
202411,17,791,649
202411,18,625,601
202411,19,567,546
202411,20,390,391
202411,21,326,264
202411,22,238,192
202411,23,153,129
202412,0,26,28
202412,1,18,13
202412,2,12,12
202412,3,12,9
202412,4,5,6
202412,5,4,10
202412,6,12,45
202412,7,35,139
202412,8,133,233
202412,9,116,233
202412,10,136,195
202412,11,203,180
202412,12,258,270
202412,13,279,274
202412,14,316,244
202412,15,332,272
202412,16,353,279
202412,17,392,326
202412,18,350,283
202412,19,258,232
202412,20,170,173
202412,21,133,105
202412,22,105,62
202412,23,43,32
