hour,out,in
2024-08-31 17:00:00,1,0
2024-09-01 00:00:00,4,6
2024-09-01 01:00:00,5,9
2024-09-01 02:00:00,4,4
2024-09-01 03:00:00,2,0
2024-09-01 05:00:00,0,2
2024-09-01 06:00:00,1,2
2024-09-01 07:00:00,3,4
2024-09-01 08:00:00,3,9
2024-09-01 09:00:00,4,11
2024-09-01 10:00:00,26,6
2024-09-01 11:00:00,14,11
2024-09-01 12:00:00,22,21
2024-09-01 13:00:00,26,26
2024-09-01 14:00:00,21,26
2024-09-01 15:00:00,30,25
2024-09-01 16:00:00,24,25
2024-09-01 17:00:00,24,43
2024-09-01 18:00:00,29,29
2024-09-01 19:00:00,42,28
2024-09-01 20:00:00,20,15
2024-09-01 21:00:00,18,17
2024-09-01 22:00:00,7,6
2024-09-01 23:00:00,5,9
2024-09-02 00:00:00,2,6
2024-09-02 01:00:00,2,8
2024-09-02 02:00:00,2,4
2024-09-02 03:00:00,0,1
2024-09-02 04:00:00,1,1
2024-09-02 06:00:00,1,3
2024-09-02 07:00:00,3,5
2024-09-02 08:00:00,7,11
2024-09-02 09:00:00,8,16
2024-09-02 10:00:00,26,14
2024-09-02 11:00:00,23,21
2024-09-02 12:00:00,31,26
2024-09-02 13:00:00,18,31
2024-09-02 14:00:00,29,26
2024-09-02 15:00:00,35,45
2024-09-02 16:00:00,40,29
2024-09-02 17:00:00,44,35
2024-09-02 18:00:00,49,55
2024-09-02 19:00:00,40,29
2024-09-02 20:00:00,34,29
2024-09-02 21:00:00,16,22
2024-09-02 22:00:00,16,13
2024-09-02 23:00:00,3,8
2024-09-03 00:00:00,3,2
2024-09-03 01:00:00,1,3
2024-09-03 02:00:00,1,1
2024-09-03 05:00:00,0,2
2024-09-03 06:00:00,2,5
2024-09-03 07:00:00,13,9
2024-09-03 08:00:00,7,11
2024-09-03 09:00:00,23,16
2024-09-03 10:00:00,24,27
2024-09-03 11:00:00,27,23
2024-09-03 12:00:00,35,36
2024-09-03 13:00:00,28,30
2024-09-03 14:00:00,40,20
2024-09-03 15:00:00,32,32
2024-09-03 16:00:00,28,35
2024-09-03 17:00:00,45,40
2024-09-03 18:00:00,28,32
2024-09-03 19:00:00,36,35
2024-09-03 20:00:00,22,18
2024-09-03 21:00:00,13,15
2024-09-03 22:00:00,15,17
2024-09-03 23:00:00,6,3
2024-09-04 00:00:00,1,1
2024-09-04 01:00:00,1,1
2024-09-04 03:00:00,1,0
2024-09-04 05:00:00,0,3
2024-09-04 06:00:00,5,7
2024-09-04 07:00:00,6,12
2024-09-04 08:00:00,17,17
2024-09-04 09:00:00,12,14
2024-09-04 10:00:00,16,15
2024-09-04 11:00:00,21,20
2024-09-04 12:00:00,27,27
2024-09-04 13:00:00,16,17
2024-09-04 14:00:00,28,29
2024-09-04 15:00:00,21,22
2024-09-04 16:00:00,47,23
2024-09-04 17:00:00,36,39
2024-09-04 18:00:00,45,43
2024-09-04 19:00:00,34,32
2024-09-04 20:00:00,17,19
2024-09-04 21:00:00,21,20
2024-09-04 22:00:00,6,5
2024-09-04 23:00:00,4,6
2024-09-05 00:00:00,4,1
2024-09-05 02:00:00,0,1
2024-09-05 05:00:00,0,4
2024-09-05 06:00:00,2,4
2024-09-05 07:00:00,6,18
2024-09-05 08:00:00,26,29
2024-09-05 09:00:00,11,13
2024-09-05 10:00:00,19,19
2024-09-05 11:00:00,23,17
2024-09-05 12:00:00,19,23
2024-09-05 13:00:00,29,25
2024-09-05 14:00:00,20,16
2024-09-05 15:00:00,23,20
2024-09-05 16:00:00,39,29
2024-09-05 17:00:00,42,45
2024-09-05 18:00:00,48,36
2024-09-05 19:00:00,28,25
2024-09-05 20:00:00,14,15
2024-09-05 21:00:00,11,13
2024-09-05 22:00:00,17,17
2024-09-05 23:00:00,9,8
2024-09-06 00:00:00,3,5
2024-09-06 01:00:00,0,1
2024-09-06 02:00:00,2,3
2024-09-06 04:00:00,1,1
2024-09-06 06:00:00,0,6
2024-09-06 07:00:00,4,5
2024-09-06 08:00:00,13,13
2024-09-06 09:00:00,8,11
2024-09-06 10:00:00,17,19
2024-09-06 11:00:00,16,18
2024-09-06 12:00:00,27,26
2024-09-06 13:00:00,24,23
2024-09-06 14:00:00,33,27
2024-09-06 15:00:00,47,57
2024-09-06 16:00:00,51,32
2024-09-06 17:00:00,61,56
2024-09-06 18:00:00,38,38
2024-09-06 19:00:00,38,41
2024-09-06 20:00:00,24,18
2024-09-06 21:00:00,24,32
2024-09-06 22:00:00,21,13
2024-09-06 23:00:00,14,14
2024-09-07 00:00:00,4,4
2024-09-07 01:00:00,3,15
2024-09-07 02:00:00,6,13
2024-09-07 03:00:00,2,2
2024-09-07 04:00:00,1,1
2024-09-07 05:00:00,0,2
2024-09-07 06:00:00,0,2
2024-09-07 07:00:00,7,8
