model_type,target,dataset,mae,rmse,r2,precision,recall,f1,threshold,mean_value,variance,pi_mean,mu_mean,alpha,zero_prop_actual,zero_prop_pred,notes
Poisson,IN,Train,4.491,6.018,,,,,1,6.874,43.758,,,,,,alpha=0.0001
Poisson,IN,Test,4.479,5.998,,0.9214,1.0,0.9591,1,6.874,43.758,,,,,,alpha=0.0001
Poisson (alpha=1.0),IN,Train,4.520,6.028,,,,,,,,,,,,,alpha=1.0
Poisson (alpha=1.0),IN,Test,4.510,6.014,,,,,,,,,,,,,alpha=1.0
NegativeBinomial,IN,Train,,,,,,,,,,,,,,,需重新运行获取
NegativeBinomial,IN,Test,,,,,,,,,,,,,,,需重新运行获取
NB+Boosting,IN,Train,2.725,3.851,,0.8319,0.8974,0.8634,4,,,,,,,,,best_overall
NB+Boosting,IN,Test,2.736,3.887,,0.8346,0.8913,0.8621,4,,,,,,,,,best_overall
ZINB,OUT,Train,,,,,,,,,,,0.2889,5.4966,0.7084,0.2848,0.0104,
ZINB,OUT,Test,3.696,5.677,0.1844,,,,,,,0.2889,5.4966,0.7084,0.2848,0.0104,
ZINB,IN,Train,,,,,,,,,,,0.2849,5.5554,0.7084,0.2776,0.0026,
ZINB,IN,Test,3.708,5.609,0.1713,,,,,,,0.2849,5.5554,0.7084,0.2776,0.0026,
